date,DryBulb,DewPnt,WetBulb,Humidity,ElecPrice,OT
2009-12-23,1183.400000002794,890.9499999973457,997.8399999995809,3343.8999999762514,1591.52,465453.2
2009-12-24,1250.3499999969267,895.0500000026543,1023.7600000004192,3101.1000000153667,1362.83,446061.04
2009-12-25,1046.0000000029336,879.4499999973458,941.4999999997206,3928.49999998603,915.66,348993.45
2009-12-26,868.1000000004191,791.2499999973458,822.1999999986031,4340.999999981839,872.36,330872.89
2009-12-27,987.3499999970663,886.9499999993014,924.7999999983236,4229.000000011176,989.5,346703.32
2009-12-28,1017.3000000009779,940.0500000022352,968.0500000013969,4349.500000008382,1041.56,366079.97000000003
2009-12-29,1074.3000000072643,801.9999999973458,909.4000000012572,3436.9999999594875,1285.7,388131.59
2009-12-30,1074.3500000041909,773.2999999977649,892.5500000001397,3272.9999999748543,1410.04,390708.04
2009-12-31,1080.999999998184,921.3999999987427,979.999999998603,3923.500000006985,1260.21,392837.67
2010-01-01,1207.8000000076834,949.8500000012573,1041.3000000033528,3522.9999999776483,978.72,374464.94
2010-01-02,1192.9999999993015,972.7000000032131,1049.1500000015367,3661.5000000209548,982.95,384838.07
2010-01-03,953.0000000009779,798.3000000000001,860.4500000004191,3931.499999995809,973.3,355195.18
2010-01-04,1021.3000000029336,734.0000000016763,851.3000000022352,3330.999999991618,1031.74,395602.57
2010-01-05,1093.9000000037718,817.3000000050291,923.6000000040513,3383.5,1150.3700000000001,423735.03
2010-01-06,1133.2499999948311,923.0499999990221,998.7999999976252,3701.000000016764,1173.42,433042.65
2010-01-07,1063.8500000006286,768.5500000057975,886.7000000032131,3296.500000019558,1117.85,411208.68
2010-01-08,1109.800000001816,822.7499999990221,933.6000000002794,3338.999999984633,1322.7,428486.93
2010-01-09,1289.1999999965076,898.9999999965075,1039.8999999970663,3060.000000001397,2096.78,443638.09
2010-01-10,1263.5499999969966,922.2000000041909,1044.2500000014668,3161.0000000237487,1802.2,436849.95
2010-01-11,1128.950000001397,872.3999999959487,968.7499999983237,3472.999999980442,2054.4,460042.56
2010-01-12,1242.5500000016764,1004.5499999970664,1085.1999999984632,3582.999999988824,6483.1,515344.46
2010-01-13,1157.3999999918974,930.70000000461,1011.8499999998603,3631.0000000544824,1194.72,469035.36
2010-01-14,982.8999999977648,854.5999999967869,904.1499999974855,4074.999999993015,976.6,422902.33
2010-01-15,1067.7000000026542,899.5500000037719,961.3000000033528,3879.500000009779,1055.03,431459.14
2010-01-16,1122.9999999979045,861.4000000002794,959.2499999991618,3446.000000006985,1110.83,401807.19
2010-01-17,1096.4499999979046,864.85,950.2999999991619,3591.500000004191,868.05,379940.96
2010-01-18,1004.5499999966472,314.2000000231201,678.4500000070548,2274.0000000747386,940.4399999999999,409269.07
2010-01-19,979.249999995809,329.30000001215376,651.7500000025146,2063.5000000391155,1035.18,409301.24
2010-01-20,1104.5000000039115,511.7500000002794,777.9500000009779,2271.9999999636784,1137.0,430673.45
2010-01-21,1159.5000000026544,922.5500000013969,1007.6000000020955,3572.499999994412,2345.74,477981.66
2010-01-22,1302.5500000096392,952.3999999955297,1076.1000000011177,3209.9999999566935,25796.15,515780.37
2010-01-23,1396.5000000067055,678.4000000078231,970.7000000050291,2221.0000000251457,6423.65,459807.02
2010-01-24,1015.0500000029336,817.7999999994412,894.9000000005587,3743.499999980442,1103.26,387132.89
2010-01-25,1121.049999998184,946.899999998184,1009.4499999986031,3859.499999998603,1390.66,446616.83999999997
2010-01-26,1223.6999999984632,1063.899999998603,1116.5499999987428,3959.000000002794,1544.66,446158.6
2010-01-27,1157.8500000036322,976.4500000045402,1040.3500000039116,3836.000000006985,1465.49,459424.42
2010-01-28,1132.1999999991617,978.7500000054482,1032.1000000030733,3963.0000000363216,1509.59,454777.78
2010-01-29,1151.500000001816,915.3499999980442,1000.1499999994412,3626.499999987427,1287.21,451053.64
2010-01-30,1131.249999996228,941.1999999964377,1009.349999996298,3790.0000000006985,1259.36,402708.56
2010-01-31,1187.8500000005588,979.8500000020955,1052.0000000016764,3704.000000004191,1407.69,405149.68
2010-02-01,1188.4000000053086,948.9999999983237,1033.9500000006985,3563.4999999678694,1270.93,459123.52999999997
2010-02-02,1160.1000000025147,846.3499999988824,966.000000000419,3261.999999983236,1297.83,438766.99
2010-02-03,1162.2500000029336,996.1499999987427,1053.5500000001398,3912.9999999776483,1539.32,450692.37
2010-02-04,1181.0999999955295,1046.2999999959488,1091.1999999960185,4062.000000001397,14444.56,457173.49
2010-02-05,1170.8000000044005,1061.0499999979743,1097.6000000001397,4186.499999963678,1367.37,461532.69
2010-02-06,1041.7999999988824,1002.3500000001396,1016.3,4562.500000004191,1050.0,396063.39
2010-02-07,1091.3999999993016,1012.0499999973457,1039.449999998184,4342.999999993015,1016.79,389075.07
2010-02-08,1166.999999997765,976.2999999948312,1043.3499999959488,3800.499999993015,1305.6200000000001,456712.88
2010-02-09,1199.000000003213,989.2999999967869,1062.5499999993015,3709.4999999720603,1581.33,471293.44
2010-02-10,1195.299999999581,956.9000000022352,1041.0000000011175,3583.000000012573,1938.08,481374.55
2010-02-11,1204.6999999959487,933.0500000018161,1029.999999999581,3437.000000016764,4718.33,488352.24
2010-02-12,1340.7499999980441,972.5499999977649,1099.2999999979045,3236.000000005588,15302.92,493638.81
2010-02-13,1112.3000000002794,1032.1999999970662,1059.249999997765,4341.499999983236,1273.07,415736.28
2010-02-14,1113.3,1034.2500000040513,1061.0500000026543,4352.000000018161,1280.99,404801.96
2010-02-15,1160.3999999976252,958.2499999967869,1028.7499999973456,3768.999999994412,1570.31,465283.65
2010-02-16,1102.0500000025145,744.3000000047498,886.7000000034924,3031.500000012573,1194.74,432507.78
2010-02-17,1054.0000000001396,720.5999999996508,855.9999999997206,3133.500000002794,1101.04,431481.17
2010-02-18,1067.7500000002794,669.3000000043306,836.0000000020955,2878.500000009779,1085.27,425062.91
2010-02-19,1096.9000000004191,734.8500000002794,881.7500000001397,3036.999999997206,1193.78,425385.37
2010-02-20,1120.8000000004192,843.6500000018161,948.4500000011176,3416.500000005588,977.04,406467.71
2010-02-21,1230.1000000075437,898.9499999955297,1019.0500000002794,3213.4999999566935,1206.56,423069.77
2010-02-22,1365.8999999997206,903.25,1068.1499999993016,2783.999999990221,10302.61,502056.01
2010-02-23,1187.3000000034924,762.4999999970663,929.2999999993015,2786.9999999720603,1393.53,458876.76
2010-02-24,1060.3,632.3500000005588,814.9500000002794,2740.000000002794,1192.65,426309.42
2010-02-25,1064.299999998184,569.6499999952503,787.5999999970663,2503.499999988824,1141.74,428259.21
2010-02-26,1051.6499999988823,767.1500000053086,881.0000000023749,3331.5000000279397,1112.52,426900.66000000003
